iso,year,no_dircrim,no_indcrim,gmc,nophys,nopsych,nodiv,nb3g,adp_general,adp_const,adp_employment,adp_edu,adp_health,adp_housing,trip_score
IRL,1999,,,,,,,,,,,,,,
IRL,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2002,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2003,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2005,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2006,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2007,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2008,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2014,1,1,0,0,0,0,0,0,0,0,0,0,0,2.0
IRL,2015,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
IRL,2016,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
IRL,2017,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
IRL,2018,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
IRL,2019,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
IRL,2020,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
IRL,2021,1,1,1,1,1,1,0,0,0,0,0,0,0,6.0
ITA,1999,,,,,,,,,,,,,,
ITA,2000,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2001,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2002,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2003,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2004,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2006,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2007,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2008,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2009,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2010,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2011,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2012,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2013,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2014,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2015,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2016,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2017,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2018,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
ITA,2021,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0
JOR,1999,,,,,,,,,,,,,,
JOR,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JOR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JOR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
JOR,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
